lot_id,field_id,lat,lon,harvest_date,grower,variety
L001,Watsonville-A,36.9102,-121.7569,2024-05-20,CoastalBerry,Albion
L002,Watsonville-B,36.9300,-121.7700,2024-06-03,CoastalBerry,Albion
L003,Salinas-A,36.6777,-121.6555,2024-06-15,ValleyFarms,Monterey
L004,SantaMaria-A,34.9530,-120.4357,2024-05-28,CentralCoast,SanAndreas
L005,SantaMaria-B,34.9700,-120.4200,2024-06-20,CentralCoast,Albion
L006,Oxnard-A,34.1975,-119.1771,2024-04-15,SoCalGrowers,Fronteras
L007,Oxnard-B,34.2100,-119.1600,2024-05-05,SoCalGrowers,Fronteras
L008,SanQuintin-A,30.5589,-115.9389,2024-02-10,BajaFresh,Albion
L009,SanQuintin-B,30.4800,-115.9200,2024-03-01,BajaFresh,SanAndreas
L010,Maneadero-A,31.7167,-116.5667,2024-02-20,BajaFresh,Monterey
L011,Zamora-A,19.9854,-102.2836,2024-01-15,MichoacanBerry,SanAndreas
L012,Jacona-A,19.9500,-102.3100,2024-01-28,MichoacanBerry,Albion
